年月,平均気温(℃),日最高気温35℃以上日数(日)
1900-01-01,1.6,0.0
1900-02-01,3.1,0.0
1900-03-01,5.7,0.0
1900-04-01,11.4,0.0
1900-05-01,17.3,0.0
1900-06-01,19.3,0.0
1900-07-01,22.8,0.0
1900-08-01,26.1,1.0
1900-09-01,22.6,0.0
1900-10-01,16.5,0.0
1900-11-01,11.0,0.0
1900-12-01,5.5,0.0
1901-01-01,4.1,0.0
1901-02-01,3.7,0.0
1901-03-01,7.3,0.0
1901-04-01,13.4,0.0
1901-05-01,16.1,0.0
1901-06-01,20.6,0.0
1901-07-01,22.1,0.0
1901-08-01,25.1,1.0
1901-09-01,22.3,0.0
1901-10-01,16.8,0.0
1901-11-01,10.2,0.0
1901-12-01,4.5,0.0
1902-01-01,2.4,0.0
1902-02-01,3.8,0.0
1902-03-01,8.4,0.0
1902-04-01,11.6,0.0
1902-05-01,16.3,0.0
1902-06-01,19.8,0.0
1902-07-01,21.8,0.0
1902-08-01,22.9,0.0
1902-09-01,22.6,0.0
1902-10-01,16.6,0.0
1902-11-01,11.5,0.0
1902-12-01,7.1,0.0
1903-01-01,4.6,0.0
1903-02-01,4.1,0.0
1903-03-01,7.7,0.0
1903-04-01,12.7,0.0
1903-05-01,15.9,0.0
1903-06-01,19.7,0.0
1903-07-01,23.2,0.0
1903-08-01,25.7,0.0
1903-09-01,22.3,0.0
1903-10-01,15.2,0.0
1903-11-01,9.1,0.0
1903-12-01,4.1,0.0
1904-01-01,1.9,0.0
1904-02-01,4.3,0.0
1904-03-01,6.1,0.0
1904-04-01,13.2,0.0
1904-05-01,15.7,0.0
1904-06-01,21.8,0.0
1904-07-01,24.8,0.0
1904-08-01,25.1,0.0
1904-09-01,21.2,0.0
1904-10-01,16.4,0.0
1904-11-01,9.1,0.0
1904-12-01,5.3,0.0
1905-01-01,4.3,0.0
1905-02-01,2.7,0.0
1905-03-01,5.6,0.0
1905-04-01,10.9,0.0
1905-05-01,16.9,0.0
1905-06-01,20.8,0.0
1905-07-01,23.3,0.0
1905-08-01,22.2,0.0
1905-09-01,21.9,0.0
1905-10-01,16.2,0.0
1905-11-01,10.3,0.0
1905-12-01,6.8,0.0
1906-01-01,2.2,0.0
1906-02-01,2.6,0.0
1906-03-01,7.3,0.0
1906-04-01,12.9,0.0
1906-05-01,16.3,0.0
1906-06-01,18.4,0.0
1906-07-01,23.5,0.0
1906-08-01,24.5,0.0
1906-09-01,19.7,0.0
1906-10-01,15.1,0.0
1906-11-01,9.3,0.0
1906-12-01,5.9,0.0
1907-01-01,4.0,0.0
1907-02-01,2.9,0.0
1907-03-01,5.6,0.0
1907-04-01,12.4,0.0
1907-05-01,17.1,0.0
1907-06-01,19.2,0.0
1907-07-01,22.7,0.0
1907-08-01,25.8,0.0
1907-09-01,21.3,0.0
1907-10-01,15.2,0.0
1907-11-01,11.2,0.0
1907-12-01,4.5,0.0
1908-01-01,3.2,0.0
1908-02-01,3.4,0.0
1908-03-01,6.2,0.0
1908-04-01,12.3,0.0
1908-05-01,16.1,0.0
1908-06-01,20.9,0.0
1908-07-01,22.1,0.0
1908-08-01,25.4,0.0
1908-09-01,19.4,0.0
1908-10-01,16.1,0.0
1908-11-01,9.1,0.0
1908-12-01,4.6,0.0
1909-01-01,2.1,0.0
1909-02-01,3.1,0.0
1909-03-01,6.3,0.0
1909-04-01,13.6,0.0
1909-05-01,16.9,0.0
1909-06-01,20.2,0.0
1909-07-01,24.3,0.0
1909-08-01,25.2,0.0
1909-09-01,21.8,0.0
1909-10-01,14.8,0.0
1909-11-01,10.0,0.0
1909-12-01,4.6,0.0
1910-01-01,4.2,0.0
1910-02-01,2.9,0.0
1910-03-01,6.1,0.0
1910-04-01,12.3,0.0
1910-05-01,16.8,0.0
1910-06-01,20.7,0.0
1910-07-01,23.0,0.0
1910-08-01,24.1,0.0
1910-09-01,20.9,0.0
1910-10-01,16.1,0.0
1910-11-01,10.4,0.0
1910-12-01,4.3,0.0
1911-01-01,2.5,0.0
1911-02-01,5.2,0.0
1911-03-01,8.2,0.0
1911-04-01,13.8,0.0
1911-05-01,16.2,0.0
1911-06-01,20.8,0.0
1911-07-01,24.5,0.0
1911-08-01,25.6,0.0
1911-09-01,22.6,0.0
1911-10-01,15.8,0.0
1911-11-01,12.8,0.0
1911-12-01,5.0,0.0
1912-01-01,3.0,0.0
1912-02-01,6.2,0.0
1912-03-01,8.1,0.0
1912-04-01,13.0,0.0
1912-05-01,16.7,0.0
1912-06-01,20.1,0.0
1912-07-01,24.3,0.0
1912-08-01,25.2,0.0
1912-09-01,20.2,0.0
1912-10-01,15.9,0.0
1912-11-01,9.4,0.0
1912-12-01,4.7,0.0
1913-01-01,1.9,0.0
1913-02-01,4.5,0.0
1913-03-01,6.2,0.0
